uid,Main Heading,Sub-Heading,Sub-Sub-Heading,Comments,Drug Name,Urinary Excretion (%),Half-Life (hr),Protein Binding (%),Volume of Distribution (L/kg),Clearance (L/hr),Clearance Slope (do not display),Clearance Intercept (do not display),Dose of Normal Renal Function,2nd Dose ,Adjustment (Dose/Interval),Stage 1 (>89),Stage 2 (60-89),Stage 3 (30-59),Stage 4 (15-29),Stage 5 (<15),Intermitent HD,Peritoneal Dialysis,Continous Renal Replacement,References,Toxicity
216,Antimicrobial Agents,Antimycobacterial Antibiotics,,,Rifampin,15-30,1.5-5.0/1.8-11.0,60-90,0.9,,,,600 mg q24h,,D,600 mg q24h,100%[D],50-100%[D],50-100%[D],50-100%[D],IHD: None ,PD: Dose for GFR <10,CRRT: Dose for GFR 30-50,"Acocella G. Clinical pharmacokinetics of rifampicin. Clin Pharmacokinet. 1978; 3: 108-27. [PMID: 346286] / Kenny MT, Strates B. Metabolism and pharmacokinetics of the antibiotic rifampin. Drug Metab Rev. 1981; 12: 159-218. [PMID: 7028436]",Many drug interactions.
217,Antimicrobial Agents,Antiparasitic Antibiotics,,,Atovaquone,<1,55-77/No data,99,No data,,,,750-1500 mg q12h(susp)-q24h,,,750-1500 mg q12h(susp)-q24h,No data: 100%[D],No data: 100%[D],No data: 100%[D],No data: 100%[D],IHD: No data: None,PD: No data: None,"CRRT: Dose for GFR 30-50, [D]","Dixon R, Pozniak AL, Watt HM, Rolan P, Posner J. Single-dose and steady-state pharmacokinetics of a novel microfluidized suspension of atovaquone in human immunodeficiency virus-seropositive patients. Antimicrob Agents Chemother. 1996; 40: 556-60. [PMID: 8851570] / Hughes WT, Kennedy W, Shenep JL, Flynn PM, Hetherington SV, Fullen G, et al. Safety and pharmacokinetics of 566C80, a hydroxynaphthoquinone with anti-Pneumocystis carinii activity: a phase I study in human immunodeficiency virus (HIV)-infected men. J Infect Dis. 1991; 163: 843-8. [PMID: 2010637]",
218,Antimicrobial Agents,Antiparasitic Antibiotics,,,Chloroquine,40,7-14 days/5-50 days,50-65,>100,,,,2.5 g (for treatment; see notes) over 3 days,,D,2.5 g (for treatment; see notes) over 3 days,100%[D],100%[D],100%[D],50%[D],IHD: Dose for GFR <10,PD: Dose for GFR <10,"CRRT: Dose for GFR 10-50, [D]","Gustafsson LL, Walker O, Alv&#225; n G, Beermann B, Estevez F, Gleisner L, et al. Dis-position of chloroquine in man after single intravenous and oral doses. Br J Clin Pharmacol. 1983; 15: 471-9. [PMID: 6849784]","Treatment: 1 g initially, then 0.5 g in 6 hr, then 0.5 g daily for 2 days. Prophylaxis: 500 mg weekly starting 1-2 weeks before travel and ending 4 weeks after travel."
219,Antimicrobial Agents,Antiparasitic Antibiotics,,,Mefloquine,<1,15-33 days/No data,98,20,,,,1250 mg (for treatment; see notes) in two doses,,,1250 mg (for treatment; see notes) in two doses,100%[D],No data: 100%[D],No data: 100%[D],No data: 100%[D],IHD: None ,PD: No data: None,"CRRT: Dose for GFR 10-50, [D]","Crevoisier CA, Joseph I, Fischer M, Graf H. Influence of hemodialysis on plasma concentration-time profiles of mefloquine in two patients with end-stage renal disease: a prophylactic drug monitoring study. Antimicrob Agents Chemother. 1995; 39: 1892-5. [PMID: 7486943]","Treatment: 750 mg initially, then 500 mg 12 hr later. Prophylaxis: 250 mg 1 week before travel until 4 weeks after travel."
220,Antimicrobial Agents,Antiparasitic Antibiotics,,,Pentamidine (IV),<5,2.8-12/73-118,69,3-4,,,,4.0 mg/kg q24h,,I,4.0 mg/kg q24h,q24h[A],q24h[A],q24h[A],q24-36h[A],IHD: Dose for GFR <10; 0.75 g after each HD,PD: Dose for GFR <10,"CRRT: Dose for GFR 30-50, [D]","Conte JE Jr. Pharmacokinetics of intravenous pentamidine in patients with normal renal function or receiving hemodialysis. J Infect Dis. 1991; 163: 169-75. [PMID: 1984463] / Conte JE Jr, Upton RA, Lin ET. Pentamidine pharmacokinetics in patients with AIDS with impaired renal function. J Infect Dis. 1987; 156: 885-90. [PMID: 3680992]",Nephrotoxic.
221,Antimicrobial Agents,Antiparasitic Antibiotics,,,Primaquine ,1,4-7/No data,No data,3-4,,,,15 mg (base) q24h,,,15 mg (base) q24h,No data: 100%[D],No data: 100%[D],No data: 100%[D],No data: 100%[D],IHD: No data: None,PD: No data: None,"CRRT: Dose for GFR 30-50, [D]","Greaves J, Evans DA, Gilles HM, Fletcher KA, Bunnag D, Harinasuta T. Plasma kinetics and urinary excretion of primaquine in man. Br J Clin Pharmacol. 1980; 10: 399-404. [PMID: 6934796] / Mihaly GW, Ward SA, Edwards G, Orme ML, Breckenridge AM. Pharmacokinetics of primaquine in man: identification of the carboxylic acid derivative as a major plasma metabolite. Br J Clin Pharmacol. 1984; 17: 441-6. [PMID: 6721990]",Methemoglobinemia at high doses. Intravascular hemolysis in patients with G6PD deficiency. 
222,Antimicrobial Agents,Antiparasitic Antibiotics,,,Pyrimethamine,15-30,80-100/Unchanged,27,2.9,,,,50-75 mg q24h,,,50-75 mg q24h,100%[D],100%[D],100%[D],100%[D],IHD: None ,PD: None ,"CRRT: Dose for GFR 30-50, [D]",,Doses are for treatment of toxoplasmosis. Antimalarial doses are much lower. Reduces renal secretion of creatinine.
223,Antimicrobial Agents,Antiparasitic Antibiotics,,,Quinine,5-20,3-20/Unchanged,70,0.7-3.7,,,,650 mg q8h,,I,650 mg q8h,q8h[A],q8-12h[A],q8-12h[A],q24h[A],IHD: Dose after dialysis,PD: Dose for GFR <10,"CRRT: Dose for GFR 10-50, [B]","Davies JG, Greenwood EF, Kingswood JC, Sharpstone P, Street MK. Quinine clearance in continuous venovenous hemofiltration. Ann Pharmacother. 1996; 30: 487-90. [PMID: 8740330] / Davies DT, Bicknell RJ. The effect of testosterone on the responsiveness of the quail&#146; s pituitary to luteinizing hormone-releasing hormone (LH-RH) during photoperiodically induced testicular growth. Gen Comp Endocrinol. 1976; 30: 487-99. [PMID: 795712] / Krishna S, White NJ. Pharmacokinetics of quinine, chloroquine and amodiaquine. Clinical implications. Clin Pharmacokinet. 1996; 30: 263-99. [PMID: 8983859] / Rimchala P, Karbwang J, Sukontason K, Banmairuroi V, Molunto P, Na-Bangchang K. Pharmacokinetics of quinine in patients with chronic renal failure. Eur J Clin Pharmacol. 1996; 49: 497-501. [PMID: 8706776]",In severe malaria cases do not reduce dose/interval.
224,Antimicrobial Agents,Antiparasitic Antibiotics,,,Trimetrexate,5-33,4-22/No data,95,0.6 (10-31 L/m2),,,,45 mg/m2 q24h ,Second Dose: adjust based on hematologicparameters ,D,45 mg/m2 q24h ,100%[D],No data: 50-100%; (see notes)[D],No data: 50-100%; (see notes)[D],Avoid[D],IHD: No data,PD: No data,"CRRT: Dose for GFR 30-50,[D]","Ho DH, Covington WP, Legha SS, Newman RA, Krakoff IH. Clinical pharmacology of trimetrexate. Clin Pharmacol Ther. 1987; 42: 351-6. [PMID: 2957140] / Marshall JL, DeLap RJ. Clinical pharmacokinetics and pharmacology of trimetrexate. Clin Pharmacokinet. 1994; 26: 190-200. [PMID: 8194282]",Must administer with leucovorin (folinic acid). Avoid if serum creatinine >2.5 mg/dL.
225,Antimicrobial Agents,Antiviral Agents,,,Abacavir,<2,1.5/2,50,0.86,,,,300 mg q12h,,,300 mg q12h,No change [B],No change [B],No change [B],No change [B],"IHD: None, [B] ","PD: None, [D] ","CRRT: 100% dose, [D]","Izzedine H, Launay-Vacher V, Aymard G, Legrand M, Deray G. Pharmacokinetics of abacavir in HIV-1-infected patients with impaired renal function. Nephron. 2001; 89: 62-7. [PMID: 11528234]",
226,Antimicrobial Agents,Antiviral Agents,,,Abacavir/ Lamivudine,,,,,,,,1 tablet q24h,,,1 tablet q24h,1 tablet daily [D],Use individual drugs [D],Use individual drugs [D],Use individual drugs [D],IHD: Avoid,PD: Avoid ,CRRT: Do not use combination product in patients needing dosage adjustments,,"When CrCl <50 mL/min, avoid combination product and use individually."
227,Antimicrobial Agents,Antiviral Agents,,,Abacavir/ Lamivudine/ Zidovudine,,,,,,,,1 tablet bid,,,1 tablet bid,100% [D],Avoid [D],Avoid [D],Avoid [D],"IHD: Avoid, [D]","PD: Avoid, [D] ",CRRT: Do not use combination product in patients needing dosage adjustments,,"Tablet contains abacavir 300 mg, lamivudine 150 mg, zidovudine 300 mg. Use in renal failure (CrCl <50 mL/min) not recommended. For CrCl <50 mL/min, use each drug individually with appropriate dose adjustment. See individual drugs for pharmokinetic data."
228,Antimicrobial Agents,Antiviral Agents,,,Acyclovir,40-70,2.1-3.8/20,15-30,0.7,,,,5-10 mg/kg q8h,,"D,I",5-10 mg/kg q8h,100% q8h [D],100% q12-24h [D],100% q12-24h [D],50% q24h [D],IHD: Dose after dialysis,PD: Dose for GFR <10,"CRRT: 5-10 mg/kg q24h, [A]","Bleyzac N, Barou P, Massenavette B, Contamin B, Maire P, Berthier JC, et al. Assess-ment of acyclovir intraindividual pharmacokinetic variability during continuoushemofiltration, continuous hemodiafiltration, and continuous hemodialysis. Ther Drug Monit. 1999; 21: 520-5. [PMID: 10519448] / Boulieu R, Bastien O, Gaillard S, Flamens C. Pharmacokinetics of acyclovir in patients undergoing continuous venovenous hemodialysis. Ther Drug Monit. 1997; 19: 701-4. [PMID: 9421114] / Khajehdehi P, Jamal JA, Bastani B. Removal of acyclovir during continuous veno-venous hemodialysis and hemodiafiltration with high-efficiency membranes. Clin Nephrol. 2000; 54: 351-5. [PMID: 11076113] / Krasny HC, Liao SH, de Miranda P, Laskin OL, Whelton A, Lietman PS. Influence of hemodialysis on acyclovir pharmacokinetics in patients with chronic renal failure. Am J Med. 1982; 73: 202-4. [PMID: 7102703] / Laskin OL. Clinical pharmacokinetics of acyclovir. Clin Pharmacokinet. 1983; 8: 187-201. [PMID: 6342900]",Neurotoxicity in ESRD. IV preparation can cause renal failure if injected rapidly.
229,Antimicrobial Agents,Antiviral Agents,,,Adefovir ,45%,7/15,<5,0.4,,,,10 mg q24h,,I,10 mg q24h,100% [B],10 mg q48h [B],10 mg q72h [B],10 mg q72h[B],"IHD: 10 mg weekly after dialysis, [B]",PD: No data,CRRT: [B],"Fontaine H, Vallet-Pichard A, Chaix ML, Currie G, Serpaggi J, Verkarre V, et al. Efficacy and safety of adefovir dipivoxil in kidney recipients, hemodialysis patients, and patients with renal insufficiency. Transplantation. 2005; 80: 1086-92. [PMID: 16278590]","Nephrotoxic in higher IV doses; risk lower with recommended oral doses. Administered as adefovir dipivoxil, converted to adefovir. HD (4 hr) removes about 35% of dose with an extraction efficiency of 63%."
230,Antimicrobial Agents,Antiviral Agents,,,Amantadine,90,12/500,60,3-8,,,,100 mg q12h,,I,100 mg q12h,q12h [D],q24-48h [D],q24-48h [D],q7d[D],IHD: None ,PD: None ,"CRRT: Dose for GFR 10-50, [D]","Horadam VW, Sharp JG, Smilack JD, McAnalley BH, Garriott JC, Stephens MK, et al. Pharmacokinetics of amantadine hydrochloride in subjects with normal and impaired renal function. Ann Intern Med. 1981; 94: 454-8. [PMID: 7212501] / Wu MJ, Ing TS, Soung LS, Daugirdas JT, Hano JE, Gandhi VC. Amantadine hydrochloride pharmacokinetics in patients with impaired renal function. Clin Nephrol. 1982; 17: 19-23. [PMID: 7035042]",
231,Antimicrobial Agents,Antiviral Agents,,,Atazanavir,7,7/NA,86,NA,,,,400 mg q24h,,,400 mg q24h,No change [D],No data [D],No data [D],No data [D],IHD: No data,PD: No data,"CRRT: No data, [B]","Izzedine H, Launay-Vacher V, Peytavin G, Valantin MA, Deray G. Atazanavir: a novel inhibitor of HIV-protease in haemodialysis [Letter]. Nephrol Dial Transplant. 2005; 20: 852-3. [PMID: 15772278]",
232,Antimicrobial Agents,Antiviral Agents,,,Cidofovir,90,2.5/No data,<6,0.3-0.8,,,,5 mg/kg weekly 2 (induction) ,Second Dose: 5 mg/kg every 2 weeks (maintenence),D,5 mg/kg weekly 2 (induction) ,100% >55 [D],Avoid [D],Avoid [D],Avoid [D],IHD: Avoid,PD: Avoid ,"CRRT: Avoid; if needed, 2 mg/kg weekly, [B]","Brody SR, Humphreys MH, Gambertoglio JG, Schoenfeld P, Cundy KC, Aweeka FT. Pharmacokinetics of cidofovir in renal insufficiency and in continuous ambulatory peritoneal dialysis or high-flux hemodialysis. Clin Pharmacol Ther. 1999; 65: 21-8. [PMID: 9951427] / Cundy KC, Petty BG, Flaherty J, Fisher PE, Polis MA, Wachsman M, et al. Clinical pharmacokinetics of cidofovir in human immunodeficiency virus-infected patients. Antimicrob Agents Chemother. 1995; 39: 1247-52. [PMID: 7574510] / Lalezari JP, Drew WL, Glutzer E, James C, Miner D, Flaherty J, et al. (S)-1-[3-hydroxy-2-(phosphonylmethoxy)propyl]cytosine (cidofovir): results of a phase I/II study of a novel antiviral nucleotide analogue. J Infect Dis. 1995; 171: 788-96. [PMID: 7706804]","Dose-limiting nephrotoxicity with proteinuria, glycosuria, renal insufficiency. Nephrotoxicity and renal clearance reduced with coadministration of probenecid."
233,Antimicrobial Agents,Antiviral Agents,,,Delavirdine,5,5.8/No data,98,0.5,,,,400 mg q8h,,,400 mg q8h,No data: 100%[D],No data: 100%[D],No data: 100%[D],No data: 100%[D],IHD: No data: None,PD: No data,"CRRT: No dosing adjustment, [D]",,
234,Antimicrobial Agents,Antiviral Agents,,,Didanosine,40-69,0.6-1.6/4.5,<5,1.0,,,,200 mg (125 mg if <60 kg) q12h ,Second Dose: 250-400 mg q24h,D,200 mg (125 mg if <60 kg) q12h ,q12h[B],q24h[B],q24h[B],50% q24h[B],IHD: Dose after dialysis,PD: Dose for GFR <10,"CRRT: Dose for GFR 10-50, [B]","Hartman NR, Yarchoan R, Pluda JM, Thomas RV, Marczyk KS, Broder S, et al. Pharmacokinetics of 2&#146; ,3&#146; -dideoxyadenosine and 2&#146; ,3&#146; -dideoxyinosine in patients with severe human immunodeficiency virus infection. Clin Pharmacol Ther. 1990; 47: 647-54. [PMID: 2111751] / Knupp CA, Shyu WC, Dolin R, Valentine FT, McLaren C, Martin RR, et al. Pharmacokinetics of didanosine in patients with acquired immunodeficiency syndrome or acquired immunodeficiency syndrome-related complex. Clin Pharmacol Ther. 1991; 49: 523-35. [PMID: 1903100] / Singlas E, Taburet AM, Borsa Lebas F, Parent de Curzon O, Sobel A, Chauveau P, et al. Didanosine pharmacokinetics in patients with normal and impaired renal function: influence of hemodialysis. Antimicrob Agents Chemother. 1992; 36: 1519-24. [PMID: 1510449]",Pancreatitis.
235,Antimicrobial Agents,Antiviral Agents,,,Efavirenz,<1,40-75/No data ,99,4,,,,600 mg daily,,,600 mg daily,100% [D],100% [D],100% [D],100% [D],"IHD: No dose adjustment, [D]","PD: No dose adjustment, [D]","CRRT: Dose for GFR 10-50, [D]","Gill MJ, Ostrop NJ, Fiske WD, Brennan JM. Efavirenz dosing in patients receiving continuous ambulatory peritoneal dialysis [Letter]. AIDS. 2000; 14: 1062-4.[PMID: 10853991] / Izzedine H, Aymard G, Launay-Vacher V, Hamani A, Deray G. Pharmacokinetics of efavirenz in a patient on maintenance haemodialysis [Letter]. AIDS. 2000; 14: 618-9. [PMID: 10780727]",Multiple drug interactions.
236,Antimicrobial Agents,Antiviral Agents,,,Emtricitabine,,10,<4,No data,,,,200 mg q24h,,,200 mg q24h,100% [D],100% q48-96h [D],100% q48-96h [D],100% q96h [D],"IHD: Dose after dialysis, [D]",PD: No data,"CRRT: Capsule: 200 mg q48h; solution: 120 mg q24h, [D]",,
237,Antimicrobial Agents,Antiviral Agents,,,Emtricitabine/ Tenofovir,,,,,,,,1 tablet q24h,,,1 tablet q24h,1 tablet q24h [D],1 tablet q48h [D],1 tablet q48h [D],Avoid [D],IHD: Avoid,PD: ,CRRT: 200-300 mg q48h,,See individual drug listings for further information.
238,Antimicrobial Agents,Antiviral Agents,,,Enfuvirtide,No data,3.8/No data,92,0.08,,,,90 mg SQ bid,,,90 mg SQ bid,100% [B],100% [B],100% [B],100% [D],"IHD: No data, [D]","PD: No data, [D]","CRRT: Dialysis rate must be at least 35 mL/min, [D]",,No data in renal insufficiency. Manufacturer reports no effect of reduced renal function with CrCl >35 mL/min.
239,Antimicrobial Agents,Antiviral Agents,,,Famciclovir ,50-65,1.6-2.9/10-22,<25,1.5,,,,500 mg q8h for herpes zoster; 125 mg q12h for genital herpes,,D,500 mg q8h for herpes zoster; 125 mg q12h for genital herpes,100% [D],q12-24h [D],q12-24h [D],50% q24h [D],IHD: Dose after dialysis,PD: No data,"CRRT: Not applicable, recommend IV ganciclovir","Boike SC, Pue MA, Freed MI, Audet PR, Fairless A, Ilson BE, et al. Pharmacokinetics of famciclovir in subjects with varying degrees of renal impairment. Clin Pharmacol Ther. 1994; 55: 418-26. [PMID: 8162668] / Pue MA, Benet LZ. Pharmacokinetcs of famciclovir in man. Antiviral Chem Chemother. 1993; 4(Suppl 1): 47-55. [PMID unavailable]",Metabolized to active compound penciclovir.
240,Antimicrobial Agents,Antiviral Agents,,,Fosamprenavir,1,8/No data,90,8.2,,,,700-1400 mg q12h, Second Dose: 1400 mg q24h,,700-1400 mg q12h,No data: 100% [D],No data: 100% [D],No data: 100% [D],No data: 100% [D],IHD: Not applicable,PD: Not applicable,"CRRT: 100%, [D]",,Dose is 1400 mg q12h without ritonavir (q.v.); with ritonavir the dose can be 700 mg q12h or 1400 mg qd.
241,Antimicrobial Agents,Antiviral Agents,,,Foscarnet,85,3/Prolonged (up to 100),17,0.3-0.6,,,,40-60 mg/kg q8h ,Second Dose: to 90 mg/kg q12h (depends on indication),D,40-60 mg/kg q8h ,28 mg/kg [A],,,6 mg/kg[A],IHD: Dose after dialysis,PD: Dose for GFR <10,"CRRT: CMV induct: 60 mg q24h; CMV main: 60 mg q48h, [B]","Alexander AC, Akers A, Matzke GR, Aweeka FT, Fraley DS. Disposition of foscarnet during peritoneal dialysis. Ann Pharmacother. 1996; 30: 1106-9. [PMID: 8893116] / Aweeka FT, Jacobson MA, Martin-Munley S, Hedman A, Schoenfeld P, Omachi R, et al. Effect of renal disease and hemodialysis on foscarnet pharmacokinetics and dosing recommendations. J Acquir Immune Defic Syndr Hum Retrovirol. 1999; 20: 350-7. [PMID: 10096579] / Aweeka FT, Pirrung D, Lizak P, et al. Pharmacokinetics of foscarnet in patients with varying degrees of renal function and hemodialysis [Abstract]. Clin Pharmacol Ther. 1994; 55: 195. [PMID unavailable] / MacGregor RR, Graziani AL, Weiss R, Grunwald JE, Gambertoglio JG. Successful foscarnet therapy for cytomegalovirus retinitis in an AIDS patient undergoing hemodialysis: rationale for empiric dosing and plasma level monitoring. J Infect Dis. 1991; 164: 785-7. [PMID: 1654363] / Sam R, Patel SB, Popli A, Leehey DJ, Gambertoglio JG, Ing TS. Removal of Fos-carnet by hemodialysis using dialysate-side values. Int J Artif Organs. 2000; 23: 165-7.[PMID: 10795660]","Nephrotoxic. Seizures, hypokalemia, hypocalcemia, hypomagnesemia."
242,Antimicrobial Agents,Antiviral Agents,,,Ganciclovir,90-100,3.6/30,1-2,0.47,,,,5.0 mg/kg q12h,,I,5.0 mg/kg q12h,50% q12-24h [D],25-50% q24h [D],25-50% q24h [D],25% 3 week [D],IHD: 25% 3 week ,PD: Dose for GFR <10,"CRRT: Induction: 2.5 mg/kg q24h; main: 1.25 mg/kg q24h, [B]","Bastien O, Boulieu R, Bleyzac N, Estanove S. Clinical use of ganciclovir during renal failure and continuous hemodialysis. Intensive Care Med. 1994; 20: 47-8. [PMID: 8163759] / Boulieu R, Bastien O, Bleyzac N. Pharmacokinetics of ganciclovir in heart transplant patients undergoing continuous venovenous hemodialysis. Ther Drug Monit. 1993; 15: 105-7. [PMID: 8389067] / Fletcher C, Sawchuk R, Chinnock B, de Miranda P, Balfour HH Jr. Human pharmacokinetics of the antiviral drug DHPG. Clin Pharmacol Ther. 1986; 40: 281-6. [PMID: 3017630] / Gando S, Kameue T, Nanzaki S, Hayakawa T, Nakanishi Y. Pharmacokinetics and clearance of ganciclovir during continuous hemodiafiltration. Crit Care Med. 1998; 26: 184-7. [PMID: 9428565] / Jacobson MA, de Miranda P, Cederberg DM, Burnette T, Cobb E, Brodie HR, et al. Human pharmacokinetics and tolerance of oral ganciclovir. Antimicrob Agents Chemother. 1987; 31: 1251-4. [PMID: 2820301] / Lake KD, Fletcher CV, Love KR, Brown DC, Joyce LD, Pritzker MR. Ganciclovir pharmacokinetics during renal impairment. Antimicrob Agents Chemother. 1988; 32: 1899-900. [PMID: 2854457] / Sommadossi JP, Bevan R, Ling T, Lee F, Mastre B, Chaplin MD, et al. Clinical pharmacokinetics of ganciclovir in patients with normal and impaired renal function. Rev Infect Dis. 1988; 10 Suppl 3: S507-14. [PMID: 2847287] / Swan SK, Munar MY, Wigger MA, Bennett WM. Pharmacokinetics of ganciclovir in a patient undergoing hemodialysis. Am J Kidney Dis. 1991; 17: 69-72. [PMID: 1846060]",Marrow toxicity.
243,Antimicrobial Agents,Antiviral Agents,,,Ganciclovir (oral),,,,,,,,1000 mg q8h,,"D, I",1000 mg q8h, 1500 mg q24h [D], 500-1000 mg q24h [D], 500-1000 mg q24h [D],500 mg q48-96h [D],"IHD: 500 mg 3 weekly post hd, [D]",PD: No data: Dose for GFR <10,"CRRT: Not applicable, recommend IV form","Anderson RD, Griffy KG, Jung D, Dorr A, Hulse JD, Smith RB. Ganciclovir absolute bioavailability and steady-state pharmacokinetics after oral administration of two 3000-mg/d dosing regimens in human immunodeficiency virus- and cytomegalovirus-seropositive patients. Clin Ther. 1995; 17: 425-32. [PMID: 7585846]",
244,Antimicrobial Agents,Antiviral Agents,,,Indinavir,10-20,1.8/2,60,No data,,,,800 mg q8h,,,800 mg q8h,No data: 100% [D],No data: 100% [D],No data: 100% [D],No data: 100% [D],"IHD: No adjustment necessary, [B]",PD: No data: Dose for GFR <10,"CRRT: 100%, [D]","Balani SK, Woolf EJ, Hoagland VL, Sturgill MG, Deutsch PJ, Yeh KC, et al. Disposition of indinavir, a potent HIV-1 protease inhibitor, after an oral dose in humans. Drug Metab Dispos. 1996; 24: 1389-94. [PMID: 8971147] / Izzedine H, Aymard G, Hamani A, Launay-Vacher V, Deray G. Indinavir pharmacokinetics in haemodialysis [Letter]. Nephrol Dial Transplant. 2000; 15: 1102-3. [PMID: 10862669]","Nephrolithiasis; acute renal failure due to crystalluria, tubulointerstitial nephritis. Minimal clearance with HD."
245,Antimicrobial Agents,Antiviral Agents,,,Lamivudine,70-80,5-11/20,36,0.8-1.3,,,,150-300 mg q12-24h,,"D, I",150-300 mg q12-24h,100% [B],50-150 mg q24h (full first dose) [B],50-150 mg q24h (full first dose) [B],25-50 mg q24h (50 mg first dose) [B],IHD: Dose after dialysis,PD: No data: Dose for GFR <10,"CRRT: 100 mg first day, then 50 mg/day, [D]","Heald AE, Hsyu PH, Yuen GJ, Robinson P, Mydlow P, Bartlett JA. Pharmacokinetics of lamivudine in human immunodeficiency virus-infected patients with renal dysfunction. Antimicrob Agents Chemother. 1996; 40: 1514-9. [PMID: 8726029] / Izzedine H, Launay-Vacher V, Deray G. Dosage of lamivudine in a haemodialysis patient [Letter]. Nephron. 2000; 86: 553. [PMID: 11124630] / Johnson MA, Verpooten GA, Daniel MJ, Plumb R, Moss J, Van Caesbroeck D, et al. Single dose pharmacokinetics of lamivudine in subjects with impaired renal function and the effect of haemodialysis. Br J Clin Pharmacol. 1998; 46: 21-7. [PMID: 9690945] / Yuen GJ, Morris DM, Mydlow PK, Haidar S, Hall ST, Hussey EK. Pharmacokinetics, absolute bioavailability, and absorption characteristics of lamivudine. J Clin Pharmacol. 1995; 35: 1174-80. [PMID: 8750368]",Extraction ratio with HD ~53-65%.
246,Antimicrobial Agents,Antiviral Agents,,,Lamivudine/ Zidovudine,,,,,,,,1 tablet bid,,,1 tablet bid,100% [D],Avoid [D],Avoid [D],Avoid [D],"IHD: Avoid, [D]","PD: Avoid, [D] ",CRRT: Use each agent independently per manufacturer,,"Tablet contains 150 mg lamivudine and 300 mg zidovudine. Use in renal failure (CrCl <50 mL/min) not recommended. For CrCl <50 mL/min, use each drug individually with appropriate dose adjustment. See individual drugs for pharmokinetic data. No pharmokinetic interaction between lamivudine and zidovudine in combination."
247,Antimicrobial Agents,Antiviral Agents,,,Lopinavir/ Ritonavir,2-3,4-6/12-17,98-99,0.5,,,,400 mg q12h,,,400 mg q12h,400 mg q12h [D],400 mg q12h [D],400 mg q12h [D],400 mg q12h [D],"IHD: No dose adjustment, [D]","PD: No data, [D]","CRRT: 100%, [D]","Izzedine H, Launay-Vacher V, Legrand M, Lieberherr D, Caumes E, Deray G. ABT 378/r: a novel inhibitor of HIV-1 protease in haemodialysis [Letter]. AIDS. 2001; 15: 662-4. [PMID: 11317012]",Multiple drug interactions. No data in renal insufficiency; single patient studied on HD.
248,Antimicrobial Agents,Antiviral Agents,,,Nelfinavir,<2,3.5-5.5/No data,>98,2-7,,,,750 mg q8h ,Second Dose: 1250 mg bid,,750 mg q8h ,100% [C],100% [C],100% [C],100% [D],"IHD: None, [B] ",PD: No data,"CRRT: 100%, [D]","Paci-Bonaventure S, Hafi A, Vincent I, Quertainmont Y, Goujard C, Charpentier B,et al. Lack of removal of nelfinavir during a haemodialysis session in an HIV-1infected patient with hepatic and renal insufficiency [Letter]. Nephrol Dial Transplant. 2001; 16: 642-3. [PMID: 11239052]",
249,Antimicrobial Agents,Antiviral Agents,,,Nevirapine,<3,23/23,50-60,1.2-1.4,,,,"200 mg qd 14 d, then q12h ",,,"200 mg qd 14 d, then q12h ",100% [D],100% [D],100% [D],100% [D],"IHD: Dose after dialysis, [B]","PD: No adjustment necessary, [B]","CRRT: 100%, [B]","Cheeseman SH, Hattox SE, McLaughlin MM, Koup RA, Andrews C, Bova CA, et al. Pharmacokinetics of nevirapine: initial single-rising-dose study in humans. Antimicrob Agents Chemother. 1993; 37: 178-82. [PMID: 8452345] / Havlir D, Cheeseman SH, McLaughlin M, Murphy R, Erice A, Spector SA, et al. High-dose nevirapine: safety, pharmacokinetics, and antiviral effect in patients with human immunodeficiency virus infection. J Infect Dis. 1995; 171: 537-45. [PMID: 7533197] / Izzedine H, Launay-Vacher V, Aymard G, Legrand M, Deray G. Pharmacokinetic of nevirapine in haemodialysis [Letter]. Nephrol Dial Transplant. 2001; 16: 192-3. [PMID: 11209031] / Izzedine H, Launay-Vacher V, Deray G. Pharmacokinetics of ritonavir and nevirapine in peritoneal dialysis [Letter]. Nephrol Dial Transplant. 2001; 16: 643. [PMID: 11239054]","May be partially cleared by hemodialysis and peritoneal dialysis. Half-life is about 45 hours initially, then declines to about 23 hours after 2-4 weeks. Extraction ratio for HD about 45%"
250,Antimicrobial Agents,Antiviral Agents,,,Oseltamivir,99,6-10/>20,3,0.3-0.4,,,,75 mg bid for treatment; qd for prophylaxis,,,75 mg bid for treatment; qd for prophylaxis,100 [B],qd (treatment); qod (prophylaxis) [B],qd (treatment); qod (prophylaxis) [B],See notes [B],"IHD: See notes, [B] ","PD: See notes, [B]","CRRT: 100%, [D]","He G, Massarella J, Ward P. Clinical pharmacokinetics of the prodrug oseltamivir and its active metabolite Ro 64-0802. Clin Pharmacokinet. 1999; 37: 471-84. [PMID: 10628898]","Can use full doses for CrCl >30 mL/min. For CrCl <30 mL/min, pharmacokinetic parameters for 75 mg qod predict adequate concentrations for treatment but efficacy not tested. For PD, 30 mg weekly or twice weekly predicts adequate concentrations but efficacy not tested. For HD, 30 mg on nondialysis days predicts adequate concentrations for treatment but efficacy not tested. Drug has a wide safety margin so appears to be little risk of higher-than-usual concentrations in renal failure."
